zz,zz500ratio
2016/9/29,0.28
2016/9/30,0.47
2016/10/10,1.89
2016/10/11,0.6
2016/10/12,-0.06
2016/10/13,0.03
2016/10/14,-0.24
2016/10/17,-0.87
2016/10/18,1.5
2016/10/19,-0.22
2016/10/20,0.05
2016/10/21,-0.35
2016/10/24,0.99
2016/10/25,0.37
2016/10/26,-0.5
2016/10/27,-0.2
2016/10/28,-0.94
2016/10/31,-0.06
2016/11/1,0.86
2016/11/2,-0.81
2016/11/3,0.44
2016/11/4,-0.33
2016/11/7,0.1
2016/11/8,0.53
2016/11/9,-0.76
2016/11/10,1.29
2016/11/11,0.72
2016/11/14,0.47
2016/11/15,0.38
2016/11/16,0.06
2016/11/17,-0.12
2016/11/18,-0.51
2016/11/21,0.14
2016/11/22,0.75
2016/11/23,-0.45
2016/11/24,-0.12
2016/11/25,0.45
2016/11/28,0.27
2016/11/29,-0.75
2016/11/30,-0.53
2016/12/1,0.59
2016/12/2,-1.56
2016/12/5,-0.54
2016/12/6,0.08
2016/12/7,1.03
2016/12/8,-0.47
2016/12/9,-0.21
2016/12/12,-4.07
2016/12/13,0.47
2016/12/14,-0.62
2016/12/15,0.66
2016/12/16,0.61
2016/12/19,0.03
2016/12/20,-0.32
2016/12/21,0.75
2016/12/22,-0.09
2016/12/23,-0.94
2016/12/26,0.2
2016/12/27,-0.09
2016/12/28,-0.3
2016/12/29,-0.28
2016/12/30,0.18
2017/1/3,0.91
2017/1/4,1.17
2017/1/5,0.07
2017/1/6,-0.43
2017/1/9,0.69
2017/1/10,-0.34
2017/1/11,-0.97
2017/1/12,-0.93
2017/1/13,-1.25
2017/1/16,-2.64
2017/1/17,0.84
2017/1/18,-0.22
2017/1/19,-0.41
2017/1/20,1.3
2017/1/23,0.82
2017/1/24,-0.11
2017/1/25,0.23
2017/1/26,0.71
2017/2/3,-0.27
2017/2/6,0.84
2017/2/7,-0.05
2017/2/8,0.57
2017/2/9,0.63
2017/2/10,0.09
2017/2/13,0.51
2017/2/14,0.08
2017/2/15,-0.99
2017/2/16,0.75
2017/2/17,-0.82
2017/2/20,1.24
2017/2/21,0.77
2017/2/22,0.62
2017/2/23,0
2017/2/24,0.03
2017/2/27,-0.8
2017/2/28,0.42
2017/3/1,0.26
2017/3/2,-0.51
2017/3/3,0.28
2017/3/6,1
2017/3/7,0.09
2017/3/8,-0.4
2017/3/9,-0.89
2017/3/10,0.13
2017/3/13,0.93
2017/3/14,-0.22
2017/3/15,-0.11
2017/3/16,0.88
2017/3/17,-0.92
2017/3/20,0.23
2017/3/21,0.27
2017/3/22,-0.25
2017/3/23,0.19
2017/3/24,0.53
2017/3/27,-0.47
2017/3/28,-0.27
2017/3/29,-0.28
2017/3/30,-1.62
2017/3/31,0.41
2017/4/5,2.16
2017/4/6,0.3
2017/4/7,0.29
2017/4/10,-0.19
2017/4/11,0.95
2017/4/12,-0.79
2017/4/13,0.6
2017/4/14,-1.32
2017/4/17,-1.1
2017/4/18,-0.59
2017/4/19,-1.05
2017/4/20,-0.05
2017/4/21,-0.74
2017/4/24,-2.57
2017/4/25,0.36
2017/4/26,0.26
2017/4/27,0.26
2017/4/28,0.32
2017/5/2,0.07
2017/5/3,-0.3
2017/5/4,-0.34
2017/5/5,-1.4
2017/5/8,-1.87
2017/5/9,0.61
2017/5/10,-2.1
2017/5/11,-0.22
2017/5/12,-0.15
2017/5/15,0.51
2017/5/16,2.06
2017/5/17,0.21
2017/5/18,-0.85
2017/5/19,-0.02
2017/5/22,-1.44
2017/5/23,-2.1
2017/5/24,0.6
2017/5/25,0.89
2017/5/26,-0.24
2017/5/31,-0.22
2017/6/1,-1.96
2017/6/2,1.09
2017/6/5,0.75
2017/6/6,0.44
2017/6/7,1.94
2017/6/8,0.07
2017/6/9,0.17
2017/6/12,-1.11
2017/6/13,1.31
2017/6/14,-0.23
2017/6/15,0.92
2017/6/16,-0.14
2017/6/19,0.74
2017/6/20,0.16
2017/6/21,0.19
2017/6/22,-1.41
2017/6/23,0.3
2017/6/26,1.69
2017/6/27,0.03
2017/6/28,-0.44
2017/6/29,0.51
2017/6/30,0.35
2017/7/3,0.64
2017/7/4,-0.49
2017/7/5,0.77
2017/7/6,0.12
2017/7/7,0.39
2017/7/10,-0.31
2017/7/11,-1.25
2017/7/12,0.07
2017/7/13,0.28
2017/7/14,-0.34
2017/7/17,-4.12
2017/7/18,1.05
2017/7/19,2.04
2017/7/20,0.66
2017/7/21,0.44
2017/7/24,0.67
2017/7/25,-0.22
2017/7/26,-0.11
2017/7/27,0.61
2017/7/28,0.51
2017/7/31,1.33
2017/8/1,-0.18
2017/8/2,-0.55
2017/8/3,0.16
2017/8/4,-0.59
2017/8/7,1.26
2017/8/8,0
2017/8/9,0.58
2017/8/10,-0.8
2017/8/11,-2.04
2017/8/14,2.13
2017/8/15,0.35
2017/8/16,0.06
2017/8/17,0.75
2017/8/18,-0.29
2017/8/21,0.88
2017/8/22,-0.43
2017/8/23,-0.83
2017/8/24,-0.7
2017/8/25,1.08
2017/8/28,1.23
2017/8/29,-0.26
2017/8/30,0.71
2017/8/31,0.26
2017/9/1,0.87
2017/9/4,0.58
2017/9/5,0.11
2017/9/6,0.54
2017/9/7,-0.73
2017/9/8,0.24
2017/9/11,1.15
2017/9/12,-0.08
2017/9/13,0.61
2017/9/14,-0.18
2017/9/15,-0.75
2017/9/18,0.72
2017/9/19,-0.5
2017/9/20,0.85
2017/9/21,-1.2
2017/9/22,-0.61
2017/9/25,-1.25
2017/9/26,0.48
2017/9/27,0.96
2017/9/28,-0.23
2017/9/29,0.54
2017/10/9,1.14
2017/10/10,0.41
2017/10/11,-0.58
2017/10/12,-0.11
2017/10/13,0.76
2017/10/16,-1.35
2017/10/17,-0.09
2017/10/18,-0.75
2017/10/19,-0.95
2017/10/20,1.08
2017/10/23,0.63
2017/10/24,-0.15
2017/10/25,0.68
2017/10/26,0.36
2017/10/27,-0.62
2017/10/30,-1.8
2017/10/31,0.74
2017/11/1,-0.11
2017/11/2,-1.04
2017/11/3,-0.89
2017/11/6,1.31
2017/11/7,0.63
2017/11/8,0.15
2017/11/9,0.76
2017/11/10,0.45
2017/11/13,0.45
2017/11/14,-0.85
2017/11/15,-1.16
2017/11/16,0.32
2017/11/17,-2.99
2017/11/20,1.12
2017/11/21,0.36
2017/11/22,-0.26
2017/11/23,-2.56
2017/11/24,0.06
2017/11/27,-1.33
2017/11/28,1.69
2017/11/29,0.3
2017/11/30,-0.87
2017/12/1,0.85
2017/12/4,-0.58
2017/12/5,-2.34
2017/12/6,0.65
2017/12/7,-0.6
2017/12/8,1.1
2017/12/11,1.34
2017/12/12,-0.84
2017/12/13,0.71
2017/12/14,0.11
2017/12/15,-0.77
2017/12/18,-0.57
2017/12/19,0.83
2017/12/20,-0.83
2017/12/21,0.63
2017/12/22,0.07
2017/12/25,-0.92
2017/12/26,0.56
2017/12/27,-0.76
2017/12/28,0.5
2017/12/29,0.75
2018/1/2,1.3
2018/1/3,0.88
2018/1/4,0.46
2018/1/5,0
2018/1/8,0.45
2018/1/9,-0.01
2018/1/10,-0.62
2018/1/11,0.31
2018/1/12,-0.41
2018/1/15,-2.28
2018/1/16,0.76
2018/1/17,-0.53
2018/1/18,0.31
2018/1/19,-0.23
2018/1/22,1.2
2018/1/23,0.12
2018/1/24,0.62
2018/1/25,-0.18
2018/1/26,0.01
2018/1/29,-1.16
2018/1/30,0.06
2018/1/31,-1.97
2018/2/1,-3.31
2018/2/2,0.34
2018/2/5,-0.11
2018/2/6,-4.9
2018/2/7,0.12
2018/2/8,0.97
2018/2/9,-3.67
2018/2/12,2.6
2018/2/13,0.66
2018/2/14,0.31
2018/2/22,2.1
2018/2/23,0.37
2018/2/26,2.24
2018/2/27,-0.32
2018/2/28,0.22
2018/3/1,1.1
2018/3/2,-0.56
2018/3/5,0.13
2018/3/6,1.34
2018/3/7,-0.96
2018/3/8,0.74
2018/3/9,1.23
2018/3/12,1.43
2018/3/13,-0.66
2018/3/14,-1.04
2018/3/15,-0.15
2018/3/16,-0.55
2018/3/19,0.12
2018/3/20,0.32
2018/3/21,-0.72
2018/3/22,-0.46
2018/3/23,-5.15
2018/3/26,2
2018/3/27,2.23
2018/3/28,-1.02
2018/3/29,1.03
2018/3/30,1.32
2018/4/2,0.12
2018/4/3,-1.02
2018/4/4,-0.69
2018/4/9,0.13
2018/4/10,0.63
2018/4/11,0.38
2018/4/12,-0.58
2018/4/13,-0.4
2018/4/16,-0.25
2018/4/17,-2.02
2018/4/18,1.35
2018/4/19,0.57
2018/4/20,-2.06
2018/4/23,-0.97
2018/4/24,2.29
2018/4/25,0.04
2018/4/26,-1.87
2018/4/27,0.22
2018/5/2,-0.1
2018/5/3,0.94
2018/5/4,-0.02
2018/5/7,1.86
2018/5/8,0.38
2018/5/9,-0.21
2018/5/10,0.19
2018/5/11,-0.82
2018/5/14,-0.4
2018/5/15,0.89
2018/5/16,-0.27
2018/5/17,-0.5
2018/5/18,0.36
2018/5/21,1.29
2018/5/22,0.34
2018/5/23,-1.3
2018/5/24,-0.35
2018/5/25,-1.25
2018/5/28,-0.45
2018/5/29,-0.95
2018/5/30,-2.62
2018/5/31,1.27
2018/6/1,-1.21
2018/6/4,-0.03
2018/6/5,1.69
2018/6/6,-0.08
2018/6/7,-0.63
2018/6/8,-1.2
2018/6/11,-0.65
2018/6/12,1.08
2018/6/13,-1.52
2018/6/14,-0.36
2018/6/15,-1.84
2018/6/19,-6.24
2018/6/20,1.1
2018/6/21,-2.1
2018/6/22,1.39
2018/6/25,-0.68
2018/6/26,0.69
2018/6/27,-0.98
2018/6/28,-1.06
2018/6/29,3.22
2018/7/2,-1.51
2018/7/3,1.14
2018/7/4,-1.46
2018/7/5,-2.71
2018/7/6,0.28
2018/7/9,2.22
2018/7/10,0.57
2018/7/11,-1.95
2018/7/12,2.71
2018/7/13,0.61
2018/7/16,-0.17
2018/7/17,0.02
2018/7/18,-0.76
2018/7/19,-0.88
2018/7/20,1.25
2018/7/23,0.75
2018/7/24,1.74
2018/7/25,0.08
2018/7/26,-0.66
2018/7/27,-0.46
2018/7/30,-1.22
2018/7/31,0.07
2018/8/1,-1.61
2018/8/2,-2.14
2018/8/3,-1.33
2018/8/6,-2.12
2018/8/7,2.73
2018/8/8,-1.54
2018/8/9,2.54
2018/8/10,0.51
2018/8/13,0.49
2018/8/14,-0.34
2018/8/15,-2.09
2018/8/16,-0.9
2018/8/17,-1.75
2018/8/20,0.62
2018/8/21,1.23
2018/8/22,-1.12
2018/8/23,0.55
2018/8/24,-0.23
2018/8/27,2.22
2018/8/28,0.29
2018/8/29,-0.65
2018/8/30,-1.51
2018/8/31,-1.07
2018/9/3,0.5
2018/9/4,1.06
2018/9/5,-1.54
2018/9/6,-0.45
2018/9/7,-0.03
2018/9/10,-1.81
2018/9/11,-0.04
2018/9/12,-0.19
2018/9/13,0.58
2018/9/14,-1.08
2018/9/17,-1.45
2018/9/18,1.76
2018/9/19,1.14
2018/9/20,-0.07
2018/9/21,1.52
2018/9/25,-0.26
2018/9/26,0.48
2018/9/27,-1.25
2018/9/28,0.95
2018/10/8,-3.21
2018/10/9,-0.25
2018/10/10,-0.11
2018/10/11,-6.96
2018/10/12,-0.68
2018/10/15,-1.84
2018/10/16,-2.37
2018/10/17,0.82
2018/10/18,-2.78
2018/10/19,2.73
2018/10/22,4.97
2018/10/23,-1.84
2018/10/24,-0.19
2018/10/25,-0.26
2018/10/26,-0.01
2018/10/29,-1.69
2018/10/30,1.01
2018/10/31,1.62
2018/11/1,0.62
2018/11/2,3.23
2018/11/5,0.06
2018/11/6,-0.06
2018/11/7,-0.52
2018/11/8,-0.74
2018/11/9,-0.31
2018/11/12,2.59
2018/11/13,1.83
2018/11/14,-0.4
2018/11/15,1.63
2018/11/16,0.85
2018/11/19,0.25
2018/11/20,-2.85
2018/11/21,0.38
2018/11/22,-0.07
2018/11/23,-3.88
2018/11/26,-0.17
2018/11/27,0.46
2018/11/28,1.24
2018/11/29,-2.16
2018/11/30,0.71
2018/12/3,3.17
2018/12/4,0.47
2018/12/5,-0.74
2018/12/6,-2.03
2018/12/7,0
2018/12/10,-1.17
2018/12/11,0.83
2018/12/12,-0.05
2018/12/13,1.13
2018/12/14,-2.39
2018/12/17,-0.15
2018/12/18,-0.54
2018/12/19,-1.38
2018/12/20,0.28
2018/12/21,-0.67
2018/12/24,1.03
2018/12/25,-1.15
2018/12/26,-0.4
2018/12/27,-1.12
2018/12/28,0.16
2019/1/2,-0.87
2019/1/3,-0.46
2019/1/4,2.38
2019/1/7,1.84
2019/1/8,-0.26
2019/1/9,0.27
2019/1/10,-0.16
2019/1/11,0.77
2019/1/14,-0.66
2019/1/15,1.42
2019/1/16,-0.24
2019/1/17,-0.76
2019/1/18,1.02
2019/1/21,0.59
2019/1/22,-1.49
2019/1/23,0.17
2019/1/24,0.52
2019/1/25,-0.45
2019/1/28,-0.26
2019/1/29,-1.23
2019/1/30,-1
2019/1/31,-0.83
2019/2/1,2.82
2019/2/11,2.53
2019/2/12,0.83
2019/2/13,1.64
2019/2/14,0.44
2019/2/15,-0.65
2019/2/18,3.51
2019/2/19,0.13
2019/2/20,0.01
2019/2/21,-0.18
2019/2/22,2.54
2019/2/25,5.59
2019/2/26,-0.12
2019/2/27,-0.41
2019/2/28,0.15
2019/3/1,0.83
2019/3/4,1.8
2019/3/5,2.66
2019/3/6,1.79
2019/3/7,1.27
2019/3/8,-3.9
2019/3/11,4.02
2019/3/12,1.73
2019/3/13,-2.27
2019/3/14,-2.33
2019/3/15,1.14
2019/3/18,2.65
2019/3/19,0.38
2019/3/20,-0.12
2019/3/21,1.34
2019/3/22,0.58
2019/3/25,-1.29
2019/3/26,-2.79
2019/3/27,0.98
2019/3/28,-1.43
2019/3/29,3.31
2019/4/1,3.79
2019/4/2,0.31
2019/4/3,1.05
2019/4/4,0.61
2019/4/8,-0.41
2019/4/9,0.18
2019/4/10,-0.12
2019/4/11,-2.11
2019/4/12,-0.22
2019/4/15,-1.02
2019/4/16,2.14
2019/4/17,0.53
2019/4/18,-0.56
2019/4/19,0.61
2019/4/22,-1.5
2019/4/23,-1.66
2019/4/24,0.92
2019/4/25,-3.9
2019/4/26,-0.92
2019/4/29,-2.63
2019/4/30,0.8
2019/5/6,-7.51
2019/5/7,1.32
2019/5/8,-0.52
2019/5/9,-1.2
2019/5/10,3.6
2019/5/13,-1.15
2019/5/14,-0.8
2019/5/15,2.23
2019/5/16,0.63
2019/5/17,-3.25
2019/5/20,-0.38
2019/5/21,1.75
2019/5/22,-0.67
2019/5/23,-2.08
2019/5/24,-0.64
2019/5/27,2.5
2019/5/28,-0.15
2019/5/29,0.03
2019/5/30,-0.61
2019/5/31,-0.29
2019/6/3,-1.18
2019/6/4,-1.2
2019/6/5,-0.24
2019/6/6,-2.2
2019/6/10,0.99
2019/6/11,3.73
2019/6/12,-0.77
2019/6/13,0.29
2019/6/14,-1.68
2019/6/17,0.15
2019/6/18,-0.12
2019/6/19,1.29
2019/6/20,1.97
2019/6/21,1.34
2019/6/24,0.06
2019/6/25,-0.98
2019/6/26,-0.25
2019/6/27,0.9
2019/6/28,-1.14
2019/7/1,3.03
2019/7/2,-0.31
2019/7/3,-0.86
2019/7/4,-0.31
2019/7/5,0.35
2019/7/8,-3.41
2019/7/9,0.22
2019/7/10,-0.77
2019/7/11,0.01
2019/7/12,0.35
2019/7/15,1.31
2019/7/16,0.14
2019/7/17,-0.06
2019/7/18,-1.72
2019/7/19,0.71
2019/7/22,-2.09
2019/7/23,0.99
2019/7/24,1.02
2019/7/25,0.38
2019/7/26,0.13
2019/7/29,-0.02
2019/7/30,0.53
2019/7/31,-0.4
2019/8/1,-0.67
2019/8/2,-1.24
2019/8/5,-1.2
2019/8/6,-2.13
2019/8/7,-0.52
2019/8/8,0.64
2019/8/9,-1.2
2019/8/12,1.84
2019/8/13,-0.57
2019/8/14,0.55
2019/8/15,0.48
2019/8/16,0.34
2019/8/19,3.23
2019/8/20,-0.05
2019/8/21,0.21
2019/8/22,0.11
2019/8/23,0
2019/8/26,-0.66
2019/8/27,1.66
2019/8/28,-0.16
2019/8/29,0.12
2019/8/30,-0.97
2019/9/2,2.49
2019/9/3,0.72
2019/9/4,0.97
2019/9/5,0.89
2019/9/6,0.32
2019/9/9,2.11
2019/9/10,-0.34
2019/9/11,-0.53
2019/9/12,0.49
2019/9/16,0.15
2019/9/17,-2.09
2019/9/18,0.01
2019/9/19,0.98
2019/9/20,0.25
2019/9/23,-0.63
2019/9/24,0.18
2019/9/25,-1.81
2019/9/26,-2.3
2019/9/27,0.71
2019/9/30,-1.29
2019/10/8,0.02
2019/10/9,0.83
2019/10/10,1.27
2019/10/11,0.18
2019/10/14,1.5
2019/10/15,-1.37
2019/10/16,-0.45
2019/10/17,-0.17
2019/10/18,-1.35
2019/10/21,-0.22
2019/10/22,1.1
2019/10/23,-0.77
2019/10/24,-0.18
2019/10/25,0.73
2019/10/28,1.8
2019/10/29,-1.51
2019/10/30,-1.19
2019/10/31,-0.62
2019/11/1,0.91
2019/11/4,0.51
2019/11/5,0.75
2019/11/6,-1.01
2019/11/7,0.65
2019/11/8,-0.37
2019/11/11,-2.25
2019/11/12,0.11
2019/11/13,-0.12
2019/11/14,0.75
2019/11/15,-0.89
2019/11/18,0.49
2019/11/19,1.69
2019/11/20,-0.58
2019/11/21,-0.01
2019/11/22,-0.84
2019/11/25,-0.05
2019/11/26,-0.39
2019/11/27,0.45
2019/11/28,-0.31
2019/11/29,0.12
2019/12/2,0.21
2019/12/3,0.43
2019/12/4,-0.12
2019/12/5,0.95
2019/12/6,0.86
2019/12/9,0.28
2019/12/10,0.49
2019/12/11,-0.43
2019/12/12,-0.3
2019/12/13,1.23
2019/12/16,1.82
2019/12/17,1.36
2019/12/18,-0.02
2019/12/19,0.13
2019/12/20,-1.09
2019/12/23,-1.94
2019/12/24,1.53
2019/12/25,0.41
2019/12/26,0.7
2019/12/27,-0.77
2019/12/30,1.21
2019/12/31,0.49
2020/1/2,1.87
2020/1/3,0.27
2020/1/6,1.01
2020/1/7,1.2
2020/1/8,-1.38
2020/1/9,1.36
2020/1/10,-0.32
2020/1/13,1.45
2020/1/14,-0.31
2020/1/15,-0.22
2020/1/16,-0.04
2020/1/17,-0.32
2020/1/20,1.41
2020/1/21,-1.14
2020/1/22,0.93
2020/1/23,-3.55
2020/2/3,-8.68
2020/2/4,1.74
2020/2/5,2.55
2020/2/6,3.1
2020/2/7,0.84
2020/2/10,1.15
2020/2/11,-0.5
2020/2/12,1.84
2020/2/13,-0.86
2020/2/14,0.15
2020/2/17,3.2
2020/2/18,1.19
2020/2/19,-1.02
2020/2/20,1.85
2020/2/21,1.35
2020/2/24,1.41
2020/2/25,0.55
2020/2/26,-2.62
2020/2/27,0.18
2020/2/28,-5.26
2020/3/2,3.76
2020/3/3,0.95
2020/3/4,0.11
2020/3/5,1.48
2020/3/6,-0.64
2020/3/9,-4.13
2020/3/10,2.7
2020/3/11,-1.51
2020/3/12,-1.71
2020/3/13,-0.67
2020/3/16,-4.71
2020/3/17,0.23
2020/3/18,-1.78
2020/3/19,0.75
2020/3/20,1.19
2020/3/23,-4.22
2020/3/24,1.94
2020/3/25,2.38
2020/3/26,-0.98
2020/3/27,-0.56
2020/3/30,-2.14
2020/3/31,0.28
2020/4/1,-0.44
2020/4/2,2.55
2020/4/3,-0.78
2020/4/7,3.13
2020/4/8,0.09
2020/4/9,0.96
2020/4/10,-2.14
2020/4/13,-0.76
2020/4/14,2.31
2020/4/15,-0.38
2020/4/16,0.92
2020/4/17,0.03
2020/4/20,1.19
2020/4/21,-0.7
2020/4/22,0.82
2020/4/23,-0.55
2020/4/24,-1.57
2020/4/27,-0.15
2020/4/28,-0.72
2020/4/29,-0.02
2020/4/30,2.43
2020/5/6,1.82
2020/5/7,-0.1
2020/5/8,1.14
2020/5/11,-0.21
2020/5/12,0.3
2020/5/13,0.43
2020/5/14,-0.89
2020/5/15,0.38
2020/5/18,-0.53
2020/5/19,1.26
2020/5/20,-1.05
2020/5/21,-1.16
2020/5/22,-1.81
2020/5/25,-0.22
2020/5/26,1.95
2020/5/27,-0.94
2020/5/28,-0.16
2020/5/29,0.84
2020/6/1,3.02
2020/6/2,-0.05
2020/6/3,0.11
2020/6/4,0.08
2020/6/5,0.16
2020/6/8,-0.18
2020/6/9,0.63
2020/6/10,0.09
2020/6/11,-0.47
2020/6/12,0.04
2020/6/15,-0.02
2020/6/16,1.87
2020/6/17,0.7
2020/6/18,-0.02
2020/6/19,0.92
2020/6/22,-0.05
2020/6/23,0.35
2020/6/24,-0.26
2020/6/29,-0.46
2020/6/30,1.77
2020/7/1,0.3
2020/7/2,1.59
2020/7/3,1.28
2020/7/6,4.1
2020/7/7,1.27
2020/7/8,2.44
2020/7/9,2.42
2020/7/10,-0.26
2020/7/13,3.34
2020/7/14,-1.33
2020/7/15,-2.48
2020/7/16,-4.8
2020/7/17,0.39
2020/7/20,2.87
2020/7/21,0.56
2020/7/22,0.87
2020/7/23,-0.01
2020/7/24,-5.08
2020/7/27,0.23
2020/7/28,0.97
2020/7/29,2.68
2020/7/30,-0.29
2020/7/31,1.05
2020/8/3,2.43
2020/8/4,-0.62
2020/8/5,1.12
2020/8/6,-0.04
2020/8/7,-1.2
2020/8/10,0.54
2020/8/11,-1.85
2020/8/12,-1.1
2020/8/13,0.37
2020/8/14,1.08
2020/8/17,1.83
2020/8/18,0.67
2020/8/19,-1.81
2020/8/20,-1.09
2020/8/21,0.76
2020/8/24,0.68
2020/8/25,-0.54
2020/8/26,-1.9
2020/8/27,0.81
2020/8/28,1.71
2020/8/31,-0.34
2020/9/1,0.63
2020/9/2,0.11
2020/9/3,-0.82
2020/9/4,-0.66
2020/9/7,-2.11
2020/9/8,0.71
2020/9/9,-2.7
2020/9/10,-1.79
2020/9/11,1.23
2020/9/14,0.62
2020/9/15,0.58
2020/9/16,-0.53
2020/9/17,0.21
2020/9/18,1.61
2020/9/21,-0.36
2020/9/22,-1.35
2020/9/23,0.53
2020/9/24,-2.31
2020/9/25,-0.12
2020/9/28,-0.94
2020/9/29,0.81
2020/9/30,-0.58
2020/10/9,2.67
2020/10/12,2.88
2020/10/13,0.16
2020/10/14,-0.66
2020/10/15,-0.74
2020/10/16,-0.49
2020/10/19,-1.09
2020/10/20,1.02
2020/10/21,-1.14
2020/10/22,-0.52
2020/10/23,-1.64
2020/10/26,0.02
2020/10/27,0.11
2020/10/28,0.4
2020/10/29,0.15
2020/10/30,-2.3
2020/11/2,0.52
2020/11/3,1.61
2020/11/4,-0.12
2020/11/5,1.89
2020/11/6,-0.8
2020/11/9,1.91
2020/11/10,-0.76
2020/11/11,-1.23
2020/11/12,0.33
2020/11/13,-0.14
2020/11/16,1.27
2020/11/17,-0.79
2020/11/18,0.06
2020/11/19,0.31
2020/11/20,0.98
2020/11/23,0.78
2020/11/24,0.03
2020/11/25,-1.93
2020/11/26,-0.25
2020/11/27,0.27
2020/11/30,-0.48
2020/12/1,1.67
2020/12/2,0.13
2020/12/3,0.09
2020/12/4,0.37
2020/12/7,-0.62
2020/12/8,-0.02
2020/12/9,-1.81
2020/12/10,0.2
2020/12/11,-1.75
2020/12/14,0.8
2020/12/15,0.1
2020/12/16,-0.48
2020/12/17,1.18
2020/12/18,-0.27
2020/12/21,1.7
2020/12/22,-2.32
2020/12/23,0.92
2020/12/24,-1.62
2020/12/25,1.18
2020/12/28,-0.54
2020/12/29,-0.71
2020/12/30,1.12
2020/12/31,1.56
2021/1/4,1.82
2021/1/5,0.88
2021/1/6,-0.18
2021/1/7,0.15
2021/1/8,0.3
2021/1/11,-1.56
2021/1/12,1.36
2021/1/13,-0.71
2021/1/14,-0.88
2021/1/15,-0.35
2021/1/18,1.51
2021/1/19,-0.58
2021/1/20,0.91
2021/1/21,1.33
2021/1/22,0.23
2021/1/25,0.11
2021/1/26,-1.69
2021/1/27,0.37
2021/1/28,-2.18
2021/1/29,-1.06
2021/2/1,0.74
2021/2/2,0.96
2021/2/3,-0.86
2021/2/4,-1.1
2021/2/5,-1.41
2021/2/8,1.33
2021/2/9,2.13
2021/2/10,1.04
2021/2/18,1.37
2021/2/19,1.34
2021/2/22,-0.69
2021/2/23,-0.39
2021/2/24,-1.43
2021/2/25,-0.57
2021/2/26,-2.07
2021/3/1,1.95
2021/3/2,-0.85
2021/3/3,1.42
2021/3/4,-1.88
2021/3/5,0.02
2021/3/8,-2.3
2021/3/9,-2.37
2021/3/10,-0.75
2021/3/11,2.5
2021/3/12,0.14
2021/3/15,-0.78
2021/3/16,0.35
2021/3/17,0.49
2021/3/18,0.78
2021/3/19,-1.07
2021/3/22,1.6
2021/3/23,-1.37
2021/3/24,-1.23
2021/3/25,0.24
2021/3/26,1.53
2021/3/29,0.05
2021/3/30,0.41
2021/3/31,-0.42
2021/4/1,0.92
2021/4/2,0.24
2021/4/6,0.26
2021/4/7,0.08
2021/4/8,0.14
2021/4/9,-0.34
2021/4/12,-1.72
2021/4/13,-0.27
2021/4/14,1.09
2021/4/15,-0.01
2021/4/16,1.01
2021/4/19,1.35
2021/4/20,0.05
2021/4/21,-0.13
2021/4/22,0.39
2021/4/23,0.27
2021/4/26,-0.31
2021/4/27,0.06
2021/4/28,0.67
2021/4/29,0.03
2021/4/30,-0.1
2021/5/6,0.06
2021/5/7,-0.69
2021/5/10,0.49
2021/5/11,-0.31
2021/5/12,0.87
2021/5/13,-1.12
2021/5/14,1.35
2021/5/17,0.8
2021/5/18,0.33
2021/5/19,-0.23
2021/5/20,-0.54
2021/5/21,-0.32
2021/5/24,0.25
2021/5/25,1.15
2021/5/26,0.13
2021/5/27,0.86
2021/5/28,-0.26
2021/5/31,0.91
2021/6/1,0.16
2021/6/2,-0.87
2021/6/3,-0.21
2021/6/4,0.38
2021/6/7,0.43
2021/6/8,-0.55
2021/6/9,0.12
2021/6/10,1.09
2021/6/11,-0.59
2021/6/15,-0.93
2021/6/16,-1.46
2021/6/17,0.76
2021/6/18,0.63
2021/6/21,0.74
2021/6/22,0.49
2021/6/23,0.74
2021/6/24,-0.52
2021/6/25,0.87
2021/6/28,0.22
2021/6/29,-0.92
2021/6/30,0.63
2021/7/1,-1.34
2021/7/2,-0.87
2021/7/5,0.8
2021/7/6,-0.02
2021/7/7,0.81
2021/7/8,-0.23
2021/7/9,0.83
2021/7/12,1.47
2021/7/13,0.83
2021/7/14,-0.91
2021/7/15,0.49
2021/7/16,-0.11
2021/7/19,-0.52
2021/7/20,0.17
2021/7/21,1.21
2021/7/22,0.6
2021/7/23,-0.58
2021/7/26,-1.68
2021/7/27,-2.17
2021/7/28,-1.45
2021/7/29,2.07
2021/7/30,0.12
2021/8/2,1.55
2021/8/3,-0.81
2021/8/4,1.69
2021/8/5,-0.28
2021/8/6,0.39
2021/8/9,0.59
2021/8/10,0.57
2021/8/11,0.77
2021/8/12,0.31
2021/8/13,-0.09
2021/8/16,-0.51
2021/8/17,-2.24
2021/8/18,0.68
2021/8/19,0.09
2021/8/20,-0.39
2021/8/23,1.51
2021/8/24,0.94
2021/8/25,0.88
2021/8/26,-0.48
2021/8/27,0.86
2021/8/30,0.65
2021/8/31,0.39
2021/9/1,-0.86
2021/9/2,1.58
2021/9/3,-0.39
2021/9/6,1.05
2021/9/7,1.95
2021/9/8,0.6
2021/9/9,0.97
2021/9/10,-0.13
2021/9/13,0.54
2021/9/14,-1.2
2021/9/15,0.47
2021/9/16,-1.91
2021/9/17,-0.69
2021/9/22,0.79
2021/9/23,0.66
2021/9/24,-1.63
2021/9/27,-2.84
2021/9/28,0.39
2021/9/29,-2.62
